"行政區域","綜合所得中位數","平均教育程度","有偶比例","女男比","扶老比","每戶平均用電度數","cluster"
"士林區蘭興里",0.759406439607751,0.50465436569887,-0.0949069039232466,0.400520002055588,-0.648486660437468,1.12754438711946,"4"
"士林區蘭雅里",0.169153940014899,0.394960812720955,-0.298358543416453,0.507225021055052,-0.442493908811497,1.03617332780553,"4"
"士林區臨溪里",0.727926306296132,0.0991337111860271,0.00921350443694715,-0.886693708153135,1.57084529035499,2.23450881367501,"6"
"士林區名山里",0.428865039835754,0.341409629377406,-0.438398282223262,1.09072588444453,-0.166611098165613,0.285798610607905,"4"
"士林區明勝里",-0.672939626070904,-0.44026490168569,-0.773621557042957,-0.349116523826721,0.126879795055207,-0.486040587136514,"2"
"士林區平等里",-1.08218135912195,-2.20097598629577,-0.750902484172343,-1.81057007518647,0.671464042903653,-0.836051286189853,"3"
"士林區前港里",-0.310918092987288,-0.758980815456168,-0.0852822176208057,0.0223249980068545,-1.09994561891674,-0.457409028324948,"8"
"士林區仁勇里",-0.838210325956902,-0.964116396812505,-0.321824694135627,-0.372078363358251,0.520998873833965,0.775990009670636,"4"
"士林區三玉里",0.334424639900897,0.509836738280504,-0.451131145760441,0.715232273281856,-0.613562538014543,1.52698954907596,"4"
"士林區社新里",-1.26319212566376,-1.60888991884411,-0.86765409396781,-1.140624639443,-0.789468347344655,-1.03922876643419,"2"
"士林區社園里",-1.29467225897537,-1.56397602313662,-1.05024156471072,-1.02041265601322,-0.93426252577427,-0.903238050641129,"2"
"士林區社子里",-1.05857125913823,-1.499628230248,-1.12453434656416,-0.526057757863808,-0.647479740488616,-0.852480434827556,"2"
"士林區聖山里",0.476085239803182,0.479606231554307,0.104078400298403,-0.0897828067647339,-0.00767943196285837,0.465306355454751,"4"
"士林區天福里",0.0747135400800425,0.398415727775378,-0.215087162004586,0.709829487509732,-0.670698806754059,1.29360007737705,"4"
"士林區天和里",0.696446172984513,0.876057734049292,0.0627057363452538,0.199266232043942,-0.76907950322062,0.720748375660643,"5"
"士林區天祿里",-0.0118568265269092,0.56597910791487,0.00647292502238535,0.865159578458317,-0.0921925853600857,1.63975158044167,"6"
"士林區天母里",0.814496672903084,0.783638756343489,0.062740352548314,0.439690198903494,-0.0125601294988784,2.50483630412311,"6"
"士林區天山里",0.428865039835754,0.917948579084165,0.31229113863125,0.709829487509732,0.0361033946224203,1.34498251539832,"6"
"士林區天壽里",0.979767372789082,0.859215023158981,0.756507417039804,0.884069328660755,-0.0862147248292557,2.50740910144893,"6"
"士林區天玉里",0.861716872870512,0.92183535852039,0.623060535153578,1.0029306156475,-0.221665527148013,1.46325768389077,"6"
"士林區溪山里",-1.22384195902423,-2.54560376297441,-0.998978854114655,-2.23063666896917,1.11565256268149,-0.198254829120381,"3"
"士林區新安里",-0.421098559577953,-0.805190304309069,-0.881566008134113,-1.1622357825315,2.09554643934909,0.702150726419753,"9"
"士林區岩山里",-0.36600832628262,0.10733913444028,-1.16731195852458,0.512627806827179,-0.589715481505989,0.594350518468115,"4"
"士林區陽明里",0.52330543977061,-0.292135418727325,0.192605166252858,-0.135706485827792,2.14436594548,2.89057213175777,"6"
"士林區義信里",-0.413228526250049,-0.712771326603266,0.124247835708499,-0.497693132560153,0.0632115895068356,0.984680627041722,"4"
"士林區永福里",0.247854273293946,-0.756821493547154,-1.40425697177218,-1.12171488924056,2.65321535142206,5.07068707715815,"6"
"士林區永倫里",-1.32615239228699,-1.35193061167143,-1.23710090878343,-1.03797170977263,-0.685622221998763,-0.710939827660234,"2"
"士林區芝山里",0.310814539917183,0.511132331425912,0.00559389816204882,0.114172356132977,-1.06675383810493,1.06928890481352,"4"
"士林區忠誠里",0.169153940014899,0.554750633987996,-0.339161379595982,0.0277277837789817,0.831120205758194,1.0196706706728,"4"
"松山區安平里",-0.507668926184905,-0.164735426095494,-0.410617475461011,-0.0425084312586415,0.0314086011597135,0.613352464431633,"4"
"松山區慈祐里",-0.76738002600576,-0.684268277404281,-0.658121335101016,-1.24868035488549,-0.267651490616835,-0.256363294436282,"2"
"松山區東昌里",1.42835927247965,1.20427466421943,1.25432107531745,0.451846466890774,1.38313138486981,-0.782573856060418,"1"
"松山區東光里",0.436735073163658,0.77456960432563,0.276954201864384,0.341089358562216,1.2777936210575,0.490005209782573,"4"
